BBOalert
Option
,1C,See chat message#16+; any distribution except 16-23 with 4441 distribution
,1H,11-15; 5+ !H
,1S,11-15; 5+ !S
,2C,See chat message#11-15; 6-card !C or may be 5-Card !C with a 4CM
,2D,16-23 any any 4441 Distribution
,2H,5-9 HCP wth a 6-card !H suit
,2S,5-9 HCP and a 6-card !S suit
,2N,See chat message#Weak 5-5+ in Minors; OR 3-level weak in !C; OR 11-15 HCPS with EXACTLY 5-5 in (!H+!S)
,3C,See chat message#4 cards in Major and 6 + !C with no void in !D ; 11-15 HCP
,3D,!D weak
,3H,!H weak
,3S,!S weak
,3N,ACOL-style Gambling 3NT
,4C,See chat message#Constructive weak with good suit in !H 6+ cards
,4D,See chat message#Constructive weak ; with good suit in !S; 6+ cards
,4H,weak
,4S,weak
Option
1C,--, 
1C,Dbl, 
1C,1D, 
1C,1H, 
1C,1S, 
1C,1N, 
1C,2C, 
1C,2D, 
1C,2H, 
1C--,1D,0-7 Any distributon
1C--,1H,8+ HCP with 5+ !H; GF
1C--,1S,8+ bal.; GF
1C--,1N,8+ HCP with 5+ !S; GF
1C--,2C,8+ HCP with 5+ !C; GF
1C--,2D,8+ HCP with 5+ !D; GF
1C--,2H,8-11 HCP; 4144 distribution; Singleton !H
1C--,2S,8-11 HCP; 1444 Distribution; Singleton !S
1C--,2N,8-11 HCP 4414 or 4441 Singleton; Minor Suit Singleton
1C--,3C,12+ HCP with 4414 Distribution; GF
1C--,3D,12+ HCP with 4144 Distribution; GF
1C--,3H,12+ HCP with 1444 distribution
1C--,3S,12+ HCP and 4441 distribution; A=2.K=1
1C--1D--,1H,Natural or Cambridge !H Complex; showing a 19+ strong bal. hand
1C--1D--,1N,16-18 bal.
1C--1D--,2H,Delta. 24+ with !H
1C--1D--,2S,Delta. 24+ with !S
1C--1D--,2N,22-23 bal. or semi-bal.
1C--1D--,3C,Delta. 24+ with !C
1C--1D--,3D,Delta. 24+ with !D
1C--1D--,3N,26-27 hcps; bal.
1C--1D--,4N,30-31 hcps; non forcing
1C--1D--1H--,1S,Forced Relay. Automatic except for certain specific hand-types
1C--1D--1H--,1N,5-7 HCP; exactly 5-card !H with a Minor suit Singleton
1C--1D--1H--,2C,0-4 HCP with 6+-card !C
1C--1D--1H--,2D,0-4 with 6+-card !D
1C--1D--1H--,2H,5-7 HCP and exactly 5-card !H with a !S Singleton
1C--1D--1H--1S--,1N,bal.; 19-21 hcps
1C--1D--1H--1S--,2C,!C/!H 2-suited hand
1C--1D--1H--1S--,2D,!D/!H 2-suited hand
1C--1D--1H--1S--,2H,Single-suited hand with !H; or possibly a min. hand with 4-card !S and 5+-card !H
1C--1D--1H--1S--,2S,Upper-range hand with 4-5+ in (!H+!S)
1C--1D--1H--1S--,2N,bal. 24-25 hcps
