BBOalert
Option
,1C,16+HcP; ANY
,1D,See chat message#11-15HcP; (3)4+!D. Maybe longer !C. Incl. 4-1-4-4
,1H,See chat message#11-15HcP; 4+!H. *MAX; 4!H+5!S *MAX; 6+!H *4!H + a minor(canape') *3-suiter; 4-4-1-4; 4-4-4-1; 1-4-4-4
,1S,See chat message#11-15HcP; 4+!S. *min; 5!S+4!H *MAX; 6+!S *5+!H + 5+!S(!H can be longest) *4!S + a minor(canape')
,1N,15-16HcP; Balanced
,2C,See chat message#11-15HcP;Good clubs; 6+!C or 5+!C + any 4 carder
,2D,See chat message#*10-12HcP; 6!S *11-15HcP; 5+!S + a minor
,2H,See chat message#*10-12HcP; 6!H *11-15HcP; 5+!H + a minor
,2S,11-15HcP; 2-suiter; 5+!C + 5+!D
,2N,23-24HcP;Semi-balanced
,3C,9-13HcP; Solid/Semi-solid; 6-7!C
,3D,See chat message#9-12HcP;ANY 7+cd; Solid. No outside Ace or King (Sharif convention)
,3H,6+!H; 6-7 tricks
,3S,6+!S; 6-7 tricks
,3N,Good but not solid 7+cd minor
,4C,See chat message#10-14HcP;7-8!H;solid + Ace or King outside; Namyats conv
,4D,See chat message#10-14HcP;7-8!S;solid + Ace or King outside; Namyats conv
,4H,7+!H; Preempt
,4S,7+!S; Preempt
Option
1C,--, 
1C,Dbl, 
1C,1D, 
1C,1H, 
1C,1S, 
1C,1N, 
1C,2C, 
1C,2D, 
1C,2H, 
1C,2S, 
1C--,1D,*0-7HcP;ANY *8-10HcP;bal
1C--,1H,8+HcP; 5+!H
1C--,1S,8+HcP; 5+!S
1C--,1N,11+HcP; bal
1C--,2C,8+HcP; 5+!C
1C--,2D,8+HcP; 5+!D
1C--,2H,4-7HcP; 6-7!H; No Ace+King
1C--,2S,4-7HcP; 6-7!S; No Ace+King
1C--,2N,14+HcP; Any 3-suiter
1C--,3C,8-13HcP; 3-suiter. 4-4-4-1 or 4-4-1-4
1C--,3D,8-13HcP; 3-suiter; 4-1-4-4
1C--,3H,8-13HcP; 3-suiter; 1-4-4-4
1C--,3S,A weak 6card minor
1C--,3N,Any weak 7+carder
1C--1D--,1H,*4!H + 5!S *5+!H + 4!S *4+!H + a minor
1C--1D--,1S,*5!H + 5!S *4+!S + a minor
1C--1D--,1N,17-20HcP; bal
1C--1D--,2C,5+!C; NF
1C--1D--,2D,5+!D; NF
1C--1D--,2H,5+!H; strong
1C--1D--,2S,5+!S; strong
1C--1D--,2N,21-22HcP; bal
1C--1D--,3C,minimum; 6+!C; 1-suiter
1C--1D--,3D,minimum; 6+!D; 1-suiter
1C--1D--,3H,6+!H; 1-suiter
1C--1D--,3S,6+!S; 1-suiter
1C--1D--,3N,25-27HcP; bal
1C--1D--1H--,--,0-2HcP; 2-3!H
1C--1D--1H--,1S,0-10HcP; 4+!S
1C--1D--1H--,1N,0-7HcP; bal. No MAJOR
1C--1D--1H--,2C,5-7HcP; 5+!C
1C--1D--1H--,2D,5-7HcP; 5+!D
1C--1D--1H--,2H,0-5HcP; 4+!H
1C--1D--1H--,2S,4-7HcP;6+!S; No top-Honors
1C--1D--1H--,2N,8-10HcP; bal. 2-4!H; 2-3!S
1C--1D--1H--,3C,6-7HcP; 6+!C
1C--1D--1H--,3D,6-7HcP; 6+!D
1C--1D--1H--,3H,6-7HcP; 3-4!H
1C--1D--1H--,3S,6-7HcP; 6+!S
1C--1D--1H--,3N,8-10HcP; bal. 4!H. Please choose choice of game
1C--1D--1H--,4C,6-7HcP; 4!H; 0-1!C
1C--1D--1H--,4D,6-7HcP; 4!H; 0-1!D
1C--1D--1H--1S--,1N,min; 5!H332
1C--1D--1H--1S--,2C,4+!C
1C--1D--1H--1S--,2D,4+!D
1C--1D--1H--1S--,2H,*6+!H *MAX;5!H332
1C--1D--1H--1S--,2S,5+!H + 4!S
1C--1D--1H--1S--,2N,Invite
1C--1D--1H--1S--1N--,2H,0-7HcP; 3!H
1C--1D--1H--1S--1N--,3H,8-10HcP; bal; 3!H
1C--1D--1H--1S--1N--,3N,8-10HcP; bal; 2!H
1C--1D--1H--1S--1N--,4C,8-10HcP; 3-4!H; 4 CTRL
1C--1D--1H--1S--1N--,4D,8-10HcP; 3-4!H; 3 CTRL
1C--1D--1H--1S--1N--,4H,8-10HcP; 3-4!H; 0-2 CTRL
1C--1D--1H--1S--2C--,2D,ASK distrib
1C--1D--1H--1S--2C--,2H,Signoff
1C--1D--1H--1S--2C--,2S,5+!S
1C--1D--1H--1S--2C--,2N,5-7HcP; bal; 2!H
1C--1D--1H--1S--2C--,3H,Invite; 3+!H
1C--1D--1H--1S--2C--,3N,8-10HcP; bal; 2!H. !D-CTRL
1C--1D--1H--1S--2C--,4C,6-7HcP; Invite !C
1C--1D--1H--1S--2C--,4D,8-10HcP; 4!H; 3 CTRL
1C--1D--1H--1S--2C--,4H,8-10HcP; 4!H; 0-2 CTRL
1C--1D--1H--1S--2C--2D--,2H,min; 5!H
1C--1D--1H--1S--2C--2D--,2S,min; 5+!H + 4!S
1C--1D--1H--1S--2C--2D--,2N,min; !D-CTRL
1C--1D--1H--1S--2C--2D--,3C,min; No !D-CTRL
1C--1D--1H--1S--2C--2D--,3D,min; !D-CTRL
1C--1D--1H--1S--2C--2D--,3H,MAX; 5!H
1C--1D--1H--1S--2C--2D--,3S,MAX; 5+!H + 4!S
1C--1D--1H--1S--2C--2D--,3N,MAX; !D-CTRL
1C--1D--1H--1S--2C--2D--,4C,MAX; 6+!C
1C--1D--1H--1S--2D--,2H,Signoff
1C--1D--1H--1S--2D--,2S,5+!S
1C--1D--1H--1S--2D--,2N,5-7HcP; bal; 2!H
1C--1D--1H--1S--2D--,3C,ASK distrib
1C--1D--1H--1S--2D--,3H,Invite; 3+!H
1C--1D--1H--1S--2D--,3N,8-10HcP; bal; 2!H. !C-CTRL
1C--1D--1H--1S--2D--,4C,8-10HcP; 4!H; 3-4 CTRL
1C--1D--1H--1S--2D--,4D,6-7HcP; Invite !D
1C--1D--1H--1S--2D--,4H,8-10HcP; 4!H; 0-2 CTRL
1C--1D--1H--1S--2D--3C--,3D,No !C-CTRL
1C--1D--1H--1S--2D--3C--,3H,5!H; Round
1C--1D--1H--1S--2D--3C--,3S,5+!H + 4!S
1C--1D--1H--1S--2D--3C--,3N,!C-CTRL
1C--1D--1H--1S--2D--3C--,4D,MAX; 6+!D
1C--1D--1H--1S--2H--,2S,6+!S
1C--1D--1H--1S--2H--,2N,4-7HcP; bal; 2!H
1C--1D--1H--1S--2H--,3N,8-10HcP; bal; 2!H
1C--1D--1H--1S--2H--,4C,8-10HcP; bal; 3-4!H; 4 CTRL
1C--1D--1H--1S--2H--,4D,8-10HcP; bal; 3-4!H; 3 CTRL
1C--1D--1H--1S--2H--,4H,8-10HcP; bal; 3-4!H; 0-2 CTRL
1C--1D--1H--1S--2S--,2N,4-7HcP; bal; 2!H
1C--1D--1H--1S--2S--,3N,8-10HcP; bal; 2!H
1C--1D--1H--1S--2S--,4C,8-10HcP; bal; 3-4!H; 4 CTRL
1C--1D--1H--1S--2S--,4D,8-10HcP; bal; 3-4!H; 3 CTRL
1C--1D--1H--1S--2S--,4H,8-10HcP; bal; 3-4!H; 0-2 CTRL
1C--1D--1H--1N--,2C,4+!C
1C--1D--1H--1N--,2D,4+!D
1C--1D--1H--1N--,2H,*6+!H *MAX;5!H332
1C--1D--1H--1N--,2S,4!H + 5!S
1C--1D--1H--1N--,2N,Invite
1C--1D--1H--1N--2C--,2D,ASK distrib
1C--1D--1H--1N--2C--,2H,Signoff
1C--1D--1H--1N--2C--2D--,2H,min; 5!H
1C--1D--1H--1N--2C--2D--,2S,5!C; !S-CTRL
1C--1D--1H--1N--2C--2D--,2N,min; 5!C; !S-CTRL + !C-CTRL
1C--1D--1H--1N--2C--2D--,3C,min; 5!C; No !S-CTRL
1C--1D--1H--1N--2C--2D--,3D,MAX; 5!C; !D-CTRL; No !S-CTRL
1C--1D--1H--1N--2C--2D--,3H,MAX; 5!H; No !S-CTRL
1C--1D--1H--1N--2C--2D--,3S,MAX; 5!H; !S-CTRL
1C--1D--1H--1N--2C--2D--,3N,MAX; 5!C; !S-CTRL + !C-CTRL
1C--1D--1H--1N--2D--,2H,Signoff
1C--1D--1H--1N--2D--,2S,ASK distrib; No !S-CTRL
1C--1D--1H--1N--2D--,2N,ASK distrib; !S-CTRL
1C--1D--1H--1N--2D--2S--,2N,min; 5!D; !S-CTRL
1C--1D--1H--1N--2D--2S--,3C,MAX; 5!D; !S-CTRL; No !C-CTRL
1C--1D--1H--1N--2D--2S--,3D,min; 5!D; No !S-CTRL
1C--1D--1H--1N--2D--2S--,3H,min; 5!H
1C--1D--1H--1N--2D--2S--,3S,MAX; 5!H; !S-CTRL
1C--1D--1H--1N--2D--2S--,3N,MAX; 5!D; !S-CTRL
1C--1D--1H--1N--2D--2N--,3C,MAX; 5!D; No !C-CTRL
1C--1D--1H--1N--2D--2N--,3D,min; 5!D; Signoff
1C--1D--1H--1N--2D--2N--,3H,min; 5!H
1C--1D--1H--1N--2D--2N--,3S,MAX; 5!H
1C--1D--1H--1N--2D--2N--,3N,MAX; 5!D; !C-CTRL
1C--1D--1H--1N--2H--,--,To play
1C--1D--1H--1N--2H--,2S,ASK distrib; No !S-CTRL
1C--1D--1H--1N--2H--,2N,ASK distrib; !S-CTRL
1C--1D--1H--1N--2H--2S--,2N,5!H; !S-CTRL. No !C-CTRL; No !D-CTRL
1C--1D--1H--1N--2H--2S--,3C,5-6!H; !S-CTRL + !C-CTRL
1C--1D--1H--1N--2H--2S--,3D,5-6!H; !S-CTRL + !D-CTRL
1C--1D--1H--1N--2H--2S--,3H,5!H; No !S-CTRL
1C--1D--1H--1N--2H--2S--,3S,6!H; !S-CTRL
1C--1D--1H--1N--2H--2S--,3N,5!H + controllers
1C--1D--1H--1N--2H--2S--,4H,6!H; No !S-CTRL
1C--1D--1H--1N--2H--2S--3C--,3D,3!H; !D-CTRL
1C--1D--1H--1N--2H--2S--3C--,3H,2!H; No !D-CTRL
1C--1D--1H--1N--2H--2S--3C--,3N,2!H; !D-CTRL
1C--1D--1H--1N--2H--2S--3C--,4H,3!H; No !D-CTRL
1C--1D--1H--1N--2H--2S--3D--,3H,2!H; No !C-CTRL
1C--1D--1H--1N--2H--2S--3D--,3S,3!H; !C-CTRL
1C--1D--1H--1N--2H--2S--3D--,3N,2!H; !C-CTRL
1C--1D--1H--1N--2H--2S--3D--,4H,3!H; No !C-CTRL
1C--1D--1H--1N--2H--2N--,3C,5-6!H; !C-CTRL; No !D-CTRL
1C--1D--1H--1N--2H--2N--,3D,5-6!H; !D-CTRL; No !C-CTRL
1C--1D--1H--1N--2H--2N--,3H,5!H; No CTRL
1C--1D--1H--1N--2H--2N--,3S,6!H; CTRL 2-suits
1C--1D--1H--1N--2H--2N--,3N,5!H; !C-CTRL + !D-CTRL
1C--1D--1H--1N--2H--2N--,4H,6!H; poor controls
1C--1D--1H--1N--2H--2N--3C--,3D,3!H; !D-CTRL
1C--1D--1H--1N--2H--2N--3C--,3H,2!H; No !D-CTRL
1C--1D--1H--1N--2H--2N--3C--,3N,2!H; !D-CTRL
1C--1D--1H--1N--2H--2N--3C--,4H,3!H; No !D-CTRL
1C--1D--1H--1N--2H--2N--3D--,3H,2!H; No !C-CTRL
1C--1D--1H--1N--2H--2N--3D--,3S,3!H; !C-CTRL
1C--1D--1H--1N--2H--2N--3D--,3N,2!H; !C-CTRL
1C--1D--1H--1N--2H--2N--3D--,4H,3!H; No !C-CTRL
1C--1D--1H--2C--,2D,4+!D
1C--1D--1H--2C--,2H,*6+!H *MAX; 5!H332
1C--1D--1H--2C--,2S,4!H + 5+!S
1C--1D--1H--2C--,2N,Invite
1C--1D--1H--2D--,2H,*6+!H *MAX; 5!H332
1C--1D--1H--2D--,2S,4!H + 5+!S
1C--1D--1H--2D--,2N,Invite
1C--1D--1H--2N--,3C,4+!C
1C--1D--1H--2N--,3D,4+!D
1C--1D--1H--2N--,3H,*6!H *5!H + 4!S
1C--1D--1H--2N--,3S,MAX; 4!H + 5!S
1C--1D--1H--2N--,3N,16-20HcP; bal; 5!H *5332 dist *4-5-2-2
1C--1D--1H--2N--3C--,3D,!D-CTRL; No !S-CTRL
1C--1D--1H--2N--3C--,3H,3!H
1C--1D--1H--2N--3C--,3S,!S-CTRL; No !D-CTRL
1C--1D--1H--2N--3C--,3N,2!H; CTRL 2 suits
1C--1D--1H--2N--3C--,4D,4!H; 3-4 CTRL
1C--1D--1H--2N--3C--,4H,4!H; 0-2 CTRL
1C--1D--1H--2N--3C--3H--,3N,Signoff
1C--1D--1H--2N--3C--3H--,4H,Signoff
1C--1D--1H--2N--3D--,3H,3!H
1C--1D--1H--2N--3D--,3S,No !S-CTRL
1C--1D--1H--2N--3D--,3N,2!H; CTRL 2 suits
1C--1D--1H--2N--3D--,4C,4!H; 3-4 CTRL
1C--1D--1H--2N--3D--,4H,4!H; 0-2 CTRL
1C--1D--1H--2N--3D--3H--,3N,Signoff
1C--1D--1H--2N--3D--3H--,4H,Signoff
1C--1D--1H--2N--3D--3S--,3N,4!H
1C--1D--1H--2N--3D--3S--,4H,5!H
1C--1D--1H--2N--3H--,3S,No !S-CTRL
1C--1D--1H--2N--3H--,3N,2!H; CTRL 2 suits
1C--1D--1H--2N--3H--,4C,4!H; 4 CTRL
1C--1D--1H--2N--3H--,4D,4!H; 3 CTRL
1C--1D--1H--2N--3H--,4H,4!H; 0-2 CTRL
1C--1D--1H--2N--3S--,3N,Signoff
1C--1D--1H--2N--3S--,4C,4!H; 3-4 CTRL
1C--1D--1H--2N--3S--,4D,3+!S; 3-4 CTRL
1C--1D--1H--2N--3S--,4H,4!H; 0-2 CTRL
1C--1D--1H--2N--3S--,4S,3+!S; 0-2 CTRL
1C--1D--1H--2N--3N--,--,2!H; To play
1C--1D--1H--2N--3N--,4C,3+!H; 4 CTRL
1C--1D--1H--2N--3N--,4D,3+!H; 3 CTRL
1C--1D--1H--2N--3N--,4H,3+!H; 0-2CTRL
1C--1D--1S--,--,0-2HcP; 2-3!S
1C--1D--1S--,1N,0-7HcP; bal. No MAJOR
1C--1D--1S--,2C,5-7HcP; 5+!C
1C--1D--1S--,2D,5-7HcP; 5+!D
1C--1D--1S--,2H,4-7HcP;6+!H; No top-Honors
1C--1D--1S--,2S,0-5HcP; 4+!S
1C--1D--1S--,2N,8-10HcP; bal. 2-4!S; 2-3!H
1C--1D--1S--,3C,6-7HcP; 6+!C
1C--1D--1S--,3D,6-7HcP; 6+!D
1C--1D--1S--,3H,6-7HcP; 6+!H
1C--1D--1S--,3S,6-7HcP; 4!S
1C--1D--1S--,3N,8-10HcP; bal. 4!S. Please choose choice of game
1C--1D--1S--,4C,6-7HcP; 4!S; 0-1!C
1C--1D--1S--,4D,6-7HcP; 4!S; 0-1!D
1C--1D--1S--1N--,2C,4+!C
1C--1D--1S--1N--,2D,4+!D
1C--1D--1S--1N--,2H,5!H + 5!S
1C--1D--1S--1N--,2S,*6!S *MAX; 5!S332
1C--1D--1S--1N--,2N,Invite
1C--1D--1S--1N--2C--,2D,ASK distrib
1C--1D--1S--1N--2C--,2S,Signoff
1C--1D--1S--1N--2C--2D--,2H,5!C; !H-CTRL
1C--1D--1S--1N--2C--2D--,2S,min; 5!S
1C--1D--1S--1N--2C--2D--,2N,min; 5!C; CTRL 2 suits
1C--1D--1S--1N--2C--2D--,3C,min; 5!C; No !H-CTRL
1C--1D--1S--1N--2C--2D--,3D,MAX; 5!C; !D-CTRL; No !H-CTRL
1C--1D--1S--1N--2C--2D--,3H,MAX; 5!S; !H-CTRL
1C--1D--1S--1N--2C--2D--,3S,MAX; 5!S; No !H-CTRL
1C--1D--1S--1N--2C--2D--,3N,MAX; 5!C; CTRL 2 suits
1C--1D--1S--1N--2D--,2H,ASK distrib; No !H-CTRL
1C--1D--1S--1N--2D--,2S,Signoff
1C--1D--1S--1N--2D--,2N,ASK distrib; !H-CTRL
1C--1D--1S--1N--2D--2H--,2S,min; 5!S
1C--1D--1S--1N--2D--2H--,2N,min; 5!S; !H-CTRL; No !C-CTRL
1C--1D--1S--1N--2D--2H--,3C,MAX; 5!D; !H-CTRL; No !C-CTRL
1C--1D--1S--1N--2D--2H--,3D,min; 5!D; No !H-CTRL
1C--1D--1S--1N--2D--2H--,3H,MAX; 5!S; !H-CTRL
1C--1D--1S--1N--2D--2H--,3S,MAX 5!S; No !H-CTRL
1C--1D--1S--1N--2D--2H--,3N,5!S; CTRL 2 suits
1C--1D--1S--1N--2D--2N--,3C,MAX; 5!D; No !C-CTRL
1C--1D--1S--1N--2D--2N--,3D,min; 5!D; Signoff
1C--1D--1S--1N--2D--2N--,3H,MAX; 5!S
1C--1D--1S--1N--2D--2N--,3S,min; 5!S
1C--1D--1S--1N--2D--2N--,3N,MAX; 5!D; !C-CTRL
1C--1D--1S--1N--2H--,--,To play
1C--1D--1S--1N--2H--,2S,Signoff
1C--1D--1S--1N--2H--,2N,ASK distrib
1C--1D--1S--1N--2H--2N--,3C,MAX; !C-CTRL
1C--1D--1S--1N--2H--2N--,3D,MAX; !D-CTRL
1C--1D--1S--1N--2H--2N--,3H,MAX; !C-CTRL + !D-CTRL
1C--1D--1S--1N--2H--2N--,3S,5!H + 6!S
1C--1D--1S--1N--2H--2N--,4H,min; 5!H + 5!S
1C--1D--1S--1N--2H--2N--4H--,--,To play
1C--1D--1S--1N--2H--2N--4H--,4S,Signoff
1C--1D--1S--1N--2S--,2N,ASK distrib
1C--1D--1S--1N--2S--2N--,3C,!C-CTRL
1C--1D--1S--1N--2S--2N--,3D,!D-CTRL; No !C-CTRL
1C--1D--1S--1N--2S--2N--,3H,5!S; !H-CTRL; No !C-CTRL; No !D-CTRL
1C--1D--1S--1N--2S--2N--,3S,6!S
1C--1D--1S--1N--2S--2N--,3N,5!S; CTRL 3-suits
1C--1D--1S--2C--,2D,4+!D
1C--1D--1S--2C--,2H,5!H + 5!S
1C--1D--1S--2C--,2S,*6+!S *MAX; 5!S332
1C--1D--1S--2C--,2N,Invite
1C--1D--1S--2D--,2H,5!H + 5!S
1C--1D--1S--2D--,2S,*6+!S *MAX; 5!S332
1C--1D--1S--2D--,2N,Invite
1C--1D--1S--2N--,3C,4+!C
1C--1D--1S--2N--,3D,4+!D
1C--1D--1S--2N--,3H,5!H + 5!S
