BBOalert
Option
,1C,17+HcP; ANY
,1D,See chat message#12-16HcP; 3+!D. Canape' style - may have longer
,1H,See chat message#12-16HcP; 4+!H. Canape' style - may have longer
,1S,See chat message#12-16HcP; 4+!S. Canape' style - may have longer
,1N,13-17HcP with clubs. Semi-balanced
,2C,12-16HcP; 6+!C or 5+!C + a side suit
,2D,7-12HcP; 6!D
,2H,7-12HcP; 6!H
,2S,7-12HcP; 6!S
,2N,10-14HcP. 7+!D or 7+!H or 7+!S
,3C,8-12HcP; Good !C suit
,3D,5-10HcP; 7!D
,3H,5-10HcP; 7!H
,3S,5-10HcP; 7!S
,3N,Gambling. Long minor + side entry
,4C,5-10HcP; 8+!C
,4D,5-10HcP; 8+!D
,4H,8-12HcP; Solid 8+!H
,4S,8-12HcP; Solid 8+!S
Option
1C,--, 
1C,Dbl, 
1C,1D, 
1C,1H, 
1C,1S, 
1C,1N, 
1C,2C, 
1C,2D, 
1C,2H, 
1C,2S, 
1C--,1D,No CTRL; forcing to 1NT
1C--,1H,1 CTRL; forcing to 1NT
1C--,1S,2 CTRL; forcing to 2NT
1C--,1N,4 CTRL; GF
1C--,2C,3 CTRL; GF
1C--,2D,5 CTRL; GF
1C--,2H,6+!H; No controls
1C--,2S,6+!S; No controls
1C--,2N,6+CTRL; GF
1C--,3C,6+!C; No controls
1C--,3D,6+!D; No controls
1C--1D--,1H,4+!H; NF; may have longer minor
1C--1D--,1S,4+!S; NF; may have longer minor
1C--1D--,1N,17-21HcP; bal
1C--1D--,2H,4+!H; Round
1C--1D--,2S,4+!S; Round
1C--1D--,2N,22-24HcP; bal
1C--1D--,3C,4+!C; Round
1C--1D--,3D,4+!D; Round
1C--1D--,3H,6+!H; GF
1C--1D--,3S,6+!S; GF
1C--1D--,3N,25-27HcP; bal
1C--1D--1N--,--,0-5HcP
1C--1D--1N--,2C,Stayman
1C--1D--1N--,2D,Signoff
1C--1D--1N--,2H,Signoff
1C--1D--1N--,2S,Signoff
1C--1D--1N--,2N,5-7HcP; bal
1C--1D--1N--,3C,Invite; 6+!C headed by K/Q
1C--1D--1N--,3D,Invite; 6+!D headed by K/Q
1C--1D--1N--,3H,Invite; 6+!H headed by K/Q
1C--1D--1N--,3S,Invite; 6+!S headed by K/Q
1C--1D--1N--,3N,8-9HcP; bal
1C--1D--1N--2C--,2D,No 4card MAJOR; minimum
1C--1D--1N--2C--,2H,4!H; 2-4!S; minimum
1C--1D--1N--2C--,2S,4!S; 2-3!H; minimum
1C--1D--1N--2C--,2N,No 4card MAJOR; MAXIMUM
1C--1D--1N--2C--,3C,5+!C; No 4card MAJOR; MAXIMUM
1C--1D--1N--2C--,3D,5+!D; No 4card MAJOR; MAXIMUM
1C--1D--1N--2C--,3H,4!H; 2-4!S; MAXIMUM
1C--1D--1N--2C--,3S,4!S; 2-3!H; MAXIMUM
1C--1D--1N--2C--2H--,3D,ASK !S
1C--1D--1N--2C--2H--3D--,3H,4!H + 2-3!S
1C--1D--1N--2C--2H--3D--,3S,4!H + 4!S
1C--1D--1N--2C--3H--,3S,ASK !S
1C--1D--1N--2C--3H--3S--,3N,4!H + 2-3!S
1C--1D--1N--2C--3H--3S--,4H,4!H + 4!S
1C--1D--2N--,3C,Baron; Bid 4card suits up the line
1C--1D--2N--,3D,5+!D
1C--1D--2N--,3H,5+!H
1C--1D--2N--,3S,5+!S
1C--1D--2N--,3N,3-8HcP; balanced. Signoff
1C--1H--,1S,4+!S; NF; may have longer minor
1C--1H--,1N,17-20HcP; bal
1C--1H--,2H,4+!H; Round
1C--1H--,2S,4+!S; Round
1C--1H--,2N,21-22HcP; bal
1C--1H--,3C,4+!C; Round
1C--1H--,3D,4+!D; Round
1C--1H--,3H,6+!H; GF
1C--1H--,3S,6+!S; GF
1C--1H--,3N,23-25HcP; bal
1C--1H--1N--,--,0-5HcP
1C--1H--1N--,2C,Stayman
