BBOalert
1C,1D,8-15HcP; 5+!D; Round
1C,1H,8-15HcP; 5+!H; Round
1C,1N,15-18HcP; bal
1C,1S,8-15HcP; 5+!S; Round
1C,2C,5!H + 5!S
1C,2D,6-11HcP; a 6card MAJOR
1C2DDb,2H,Pass/correct
1C2DDb,2N,ASK strength incl. fit
1C2DDb2N--,3C,MAXIMUM; bad suit
1C2DDb2N--,3D,Good suit
1C2DDb2N--,3H,6!H; weak
1C2DDb2N--,3N,Solid MAJOR
1C2DDb2N--,3S,6!S; weak
1C2DDb,2S,ASK short; No fit needed
1C2DDb2S--,2N,No short or short other MAJOR
1C2DDb2S--2N--,3C,ASK MAJOR
1C2DDb2S--2N--3C--,3D,6!H; No short
1C2DDb2S--2N--3C--,3H,6!H; 0-1!S
1C2DDb2S--2N--3C--,3N,6!S; 0-1!H
1C2DDb2S--2N--3C--,3S,6!S; No short
1C2DDb2S--,3C,6!S; 0-1!C
1C2DDb2S--,3D,6!H; 0-1!D
1C2DDb2S--,3H,6!H; 0-1!C
1C2DDb2S--,3S,6!S; 0-1!D
1C2DDb,3D,Invite + fit
1C2DDb,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1C2DDb,4C,Give a trans
1C2DDb4C--,4D,Trans -> !H
1C2DDb4C--,4H,Trans -> !S
1C2DDb,4D,Bid your suit
1C2DDb4D--,4H,6!H; Signoff
1C2DDb4D--,4S,6!S; Signoff
1C2D--,2H,Pass/correct
1C2D--,2N,ASK strength incl. fit
1C2D--2N--,3C,MAXIMUM; bad suit
1C2D--2N--,3D,Good suit
1C2D--2N--,3H,6!H; weak
1C2D--2N--,3N,Solid MAJOR
1C2D--2N--,3S,6!S; weak
1C2D--,2S,ASK short; No fit needed
1C2D--2S--,2N,No short or short other MAJOR
1C2D--2S--2N--,3C,ASK MAJOR
1C2D--2S--2N--3C--,3D,6!H; No short
1C2D--2S--2N--3C--,3H,6!H; 0-1!S
1C2D--2S--2N--3C--,3N,6!S; 0-1!H
1C2D--2S--2N--3C--,3S,6!S; No short
1C2D--2S--,3C,6!S; 0-1!C
1C2D--2S--,3D,6!H; 0-1!D
1C2D--2S--,3H,6!H; 0-1!C
1C2D--2S--,3S,6!S; 0-1!D
1C2D--,3D,Invite + fit
1C2D--,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1C2D--,4C,Give a trans
1C2D--4C--,4D,Trans -> !H
1C2D--4C--,4H,Trans -> !S
1C2D--,4D,Bid your suit
1C2D--4D--,4H,6!H; Signoff
1C2D--4D--,4S,6!S; Signoff
1C,2H,6-11HcP; 5!H + a suit
1C2HDb,2N,ASK minor
1C2HDb,2S,Pass/correct
1C2HDb,3C,Pass/correct
1C2HDb,3D,Pass/correct
1C2HDb,3H,Preempt
1C2HDb,4H,Signoff
1C2HDb,--,To play
1C2HDb,Rd,To play
1C2H--,2N,ASK minor
1C2H--,2S,Pass/correct
1C2H--,3C,Pass/correct
1C2H--,3D,Pass/correct
1C2H--,3H,Preempt
1C2H--,4H,Signoff
1C2H--,--,To play
1C,2N,6-11HcP; 5!C + 5!D
1C2NDb,3C,3+!C
1C2NDb,3D,3+!D
1C2NDb,3H,ASK distrib
1C2NDb3H--,3N,minimum; 1-2-5-5; 2-1-5-5
1C2NDb3H--,3S,minimum; 0-3-5-5; 3-0-5-5
1C2NDb3H--,4C,MAXIMUM; 2-1-5-5
1C2NDb3H--,4D,MAXIMUM; 1-2-5-5
1C2NDb3H--,4H,MAXIMUM; 0-3-5-5
1C2NDb3H--,4S,MAXIMUM; 3-0-5-5
1C2N--,3C,3+!C
1C2N--,3D,3+!D
1C2N--,3H,ASK distrib
1C2N--3H--,3N,minimum; 1-2-5-5; 2-1-5-5
1C2N--3H--,3S,minimum; 0-3-5-5; 3-0-5-5
1C2N--3H--,4C,MAXIMUM; 2-1-5-5
1C2N--3H--,4D,MAXIMUM; 1-2-5-5
1C2N--3H--,4H,MAXIMUM; 0-3-5-5
1C2N--3H--,4S,MAXIMUM; 3-0-5-5
1C,2S,6-11HcP; 5!S + a minor
1C2SDb,2N,ASK minor
1C2SDb,3C,Pass/correct
1C2SDb,3D,Pass/correct
1C2SDb,3S,Preempt
1C2SDb,4S,Signoff
1C2SDb,--,To play
1C2SDb,Rd,To play
1C2S--,2N,ASK minor
1C2S--,3C,Pass/correct
1C2S--,3D,Pass/correct
1C2S--,3S,Preempt
1C2S--,4S,Signoff
1C2S--,--,To play
1C,Db,Takeout
1C----,1N,Please read chat#11-14HcP; semi-balanced. No stop promised
1D,1H,8-15HcP; 5+!H; Round
1D,1N,8-15HcP; 5+!C  +  a 4card MAJOR
1D,1S,8-15HcP; 5+!S; Round
1D,2C,8-15HcP; 6+!C; NF
1D,2D,Michael's CUE
1D,2H,8-15HcP; 6+!H; NF
1D,2N,2 lowest unbid
1D,2S,8-15HcP; 6+!S; NF
1D,3D,GF; ANY
1D,Db,Takeout
1D----,1H,11-16HcP; 5+!H; good hand
1D----,1S,11-16HcP; 5+!S; good hand
1D----,2C,11-16HcP; 5+!C; good hand
1H,1N,8-15HcP; 4!S   +   a 5+card minor
1H,1S,8-15HcP; 5+!S; Round
1H,2C,8-15HcP; 6+!C; NF
1H,2D,8-15HcP; 6+!D; NF
1H,2H,Michael's CUE
1H,2N,2 lowest unbid
1H,2S,8-15HcP; 6+!S; NF
1H,3H,GF; ANY
1H,Db,Takeout
1H----,1H,11-16HcP; 5+!H; good hand
1H----,1S,11-16HcP; 5+!S; good hand
1H----,2C,11-16HcP; 5+!C; good hand
1H----,2D,11-16HcP; 5+!D; good hand
1N,2C,2-suiter; 4+!C  +  5card MAJOR
1N,2D,2-suiter; 4+!D  +  5card MAJOR
1N,2H,5+!H
1N,2N,Minors
1N,2S,5+!S
1N,Db,14+HcP.  *5-4 MAJORs   *4M + 5m
1N--2C,Db,Values
1N----,2C,5-4 MAJORs; either longest
1N----,2D,6-11HcP; a 6card MAJOR
1N----2DDb,2H,Pass/correct
1N----2DDb,2N,ASK strength incl. fit
1N----2DDb2N--,3C,MAXIMUM; bad suit
1N----2DDb2N--,3D,Good suit
1N----2DDb2N--,3H,6!H; weak
1N----2DDb2N--,3N,Solid MAJOR
1N----2DDb2N--,3S,6!S; weak
1N----2DDb,2S,ASK short; No fit needed
1N----2DDb2S--,2N,No short or short other MAJOR
1N----2DDb2S--2N--,3C,ASK MAJOR
1N----2DDb2S--2N--3C--,3D,6!H; No short
1N----2DDb2S--2N--3C--,3H,6!H; 0-1!S
1N----2DDb2S--2N--3C--,3N,6!S; 0-1!H
1N----2DDb2S--2N--3C--,3S,6!S; No short
1N----2DDb2S--,3C,6!S; 0-1!C
1N----2DDb2S--,3D,6!H; 0-1!D
1N----2DDb2S--,3H,6!H; 0-1!C
1N----2DDb2S--,3S,6!S; 0-1!D
1N----2DDb,3D,Invite + fit
1N----2DDb,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1N----2DDb,4C,Give a trans
1N----2DDb4C--,4D,Trans -> !H
1N----2DDb4C--,4H,Trans -> !S
1N----2DDb,4D,Bid your suit
1N----2DDb4D--,4H,6!H; Signoff
1N----2DDb4D--,4S,6!S; Signoff
1N----2D--,2H,Pass/correct
1N----2D--,2N,ASK strength incl. fit
1N----2D--2N--,3C,MAXIMUM; bad suit
1N----2D--2N--,3D,Good suit
1N----2D--2N--,3H,6!H; weak
1N----2D--2N--,3N,Solid MAJOR
1N----2D--2N--,3S,6!S; weak
1N----2D--,2S,ASK short; No fit needed
1N----2D--2S--,2N,No short or short other MAJOR
1N----2D--2S--2N--,3C,ASK MAJOR
1N----2D--2S--2N--3C--,3D,6!H; No short
1N----2D--2S--2N--3C--,3H,6!H; 0-1!S
1N----2D--2S--2N--3C--,3N,6!S; 0-1!H
1N----2D--2S--2N--3C--,3S,6!S; No short
1N----2D--2S--,3C,6!S; 0-1!C
1N----2D--2S--,3D,6!H; 0-1!D
1N----2D--2S--,3H,6!H; 0-1!C
1N----2D--2S--,3S,6!S; 0-1!D
1N----2D--,3D,Invite + fit
