BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1C,1D,8-15HcP; 5+!D; Round
1C,1H,8-15HcP; 5+!H; Round
1C,1N,15-18HcP; bal
1C,1S,8-15HcP; 5+!S; Round
1C,2C,5!H + 5!S
1C,2D,6-11HcP; a 6card MAJOR
1C2DDb,2H,Pass/correct
1C2DDb,2N,ASK strength incl. fit
1C2DDb2N--,3C,MAXIMUM; bad suit
1C2DDb2N--,3D,Good suit
1C2DDb2N--,3H,6!H; weak
1C2DDb2N--,3N,Solid MAJOR
1C2DDb2N--,3S,6!S; weak
1C2DDb,2S,ASK short; No fit needed
1C2DDb2S--,2N,No short or short other MAJOR
1C2DDb2S--2N--,3C,ASK MAJOR
1C2DDb2S--2N--3C--,3D,6!H; No short
1C2DDb2S--2N--3C--,3H,6!H; 0-1!S
1C2DDb2S--2N--3C--,3N,6!S; 0-1!H
1C2DDb2S--2N--3C--,3S,6!S; No short
1C2DDb2S--,3C,6!S; 0-1!C
1C2DDb2S--,3D,6!H; 0-1!D
1C2DDb2S--,3H,6!H; 0-1!C
1C2DDb2S--,3S,6!S; 0-1!D
1C2DDb,3D,Invite + fit
1C2DDb,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1C2DDb,4C,Give a trans
1C2DDb4C--,4D,Trans -> !H
1C2DDb4C--,4H,Trans -> !S
1C2DDb,4D,Bid your suit
1C2DDb4D--,4H,6!H; Signoff
1C2DDb4D--,4S,6!S; Signoff
1C2D--,2H,Pass/correct
1C2D--,2N,ASK strength incl. fit
1C2D--2N--,3C,MAXIMUM; bad suit
1C2D--2N--,3D,Good suit
1C2D--2N--,3H,6!H; weak
1C2D--2N--,3N,Solid MAJOR
1C2D--2N--,3S,6!S; weak
1C2D--,2S,ASK short; No fit needed
1C2D--2S--,2N,No short or short other MAJOR
1C2D--2S--2N--,3C,ASK MAJOR
1C2D--2S--2N--3C--,3D,6!H; No short
1C2D--2S--2N--3C--,3H,6!H; 0-1!S
1C2D--2S--2N--3C--,3N,6!S; 0-1!H
1C2D--2S--2N--3C--,3S,6!S; No short
1C2D--2S--,3C,6!S; 0-1!C
1C2D--2S--,3D,6!H; 0-1!D
1C2D--2S--,3H,6!H; 0-1!C
1C2D--2S--,3S,6!S; 0-1!D
1C2D--,3D,Invite + fit
1C2D--,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1C2D--,4C,Give a trans
1C2D--4C--,4D,Trans -> !H
1C2D--4C--,4H,Trans -> !S
1C2D--,4D,Bid your suit
1C2D--4D--,4H,6!H; Signoff
1C2D--4D--,4S,6!S; Signoff
1C,2H,6-11HcP; 5!H + a suit
1C2HDb,2N,ASK minor
1C2HDb,2S,Pass/correct
1C2HDb,3C,Pass/correct
1C2HDb,3D,Pass/correct
1C2HDb,3H,Preempt
1C2HDb,4H,Signoff
1C2HDb,--,To play
1C2HDb,Rd,To play
1C2H--,2N,ASK minor
1C2H--,2S,Pass/correct
1C2H--,3C,Pass/correct
1C2H--,3D,Pass/correct
1C2H--,3H,Preempt
1C2H--,4H,Signoff
1C2H--,--,To play
1C,2N,6-11HcP; 5!C + 5!D
1C2N--,3C,3+!C
1C2N--,3D,3+!D
1C2N--,3H,ASK distrib
1C2N--3H--,3N,minimum; 1-2-5-5; 2-1-5-5
1C2N--3H--,3S,minimum; 0-3-5-5; 3-0-5-5
1C2N--3H--,4C,MAXIMUM; 2-1-5-5
1C2N--3H--,4D,MAXIMUM; 1-2-5-5
1C2N--3H--,4H,MAXIMUM; 0-3-5-5
