BBOalert
1C1D1H,2C,Fit for !D
1C1D1N,2C,Fit for !D
1C1D1S,2C,Fit for !D
1C1D2C,Db,Fit for !D
1C,1D,5+!D; maybe light
1C1DDb,2C,Fit for !D
1C1D--,2C,Fit for !D
1C1H1N,2C,Fit for !H
1C1H1S,2C,Fit for !H
1C1H2C,Db,Fit for !H
1C,1H,5+!H; maybe light
1C1HDb,2C,Fit for !H
1C1H--,2C,Fit for !H
Error *001C1N2C=YYYYYYYC08Stayman|1C1N,2C,Stayman
Error *001C1N2CP2D=NYYYYYY208No 4card MAJOR|1C1N2C--,2D,No 4card MAJOR
Error *001C1N2CP2DP2H=NYYYYYY248Weak 4+!S  +  4+!H|1C1N2C--2D--,2H,Weak 4+!S  +  4+!H
Error *001C1N2CP2DP2N=NYYYYYY4Invite|1C1N2C--2D--,2N,Invite
Error *001C1N2CP2DP2S=YYYYYYN608Any Game Force|1C1N2C--2D--,2S,Any Game Force
Error *001C1N2CP2DP3C=NYYYYYY6585+!C, GF|1C1N2C--2D--,3C,5+!C; GF
Error *001C1N2CP2DP3D=NYYYYYY6585+!D, GF|1C1N2C--2D--,3D,5+!D; GF
Error *001C1N2CP2DP3H=NNNYYYY2445!S + 4!H|1C1N2C--2D--,3H,5!S + 4!H
Error *001C1N2CP2DP3HP3N=NNNYYYY22!S + 3!H|1C1N2C--2D--3H--,3N,2!S + 3!H
Error *001C1N2CP2DP3HP3NP4H=YNNNYYYA446!S + 4!H|1C1N2C--2D--3H--3N--,4H,6!S + 4!H
Error *001C1N2CP2DP3HP3S=NNNYYYY2333!S|1C1N2C--2D--3H--,3S,3!S
Error *001C1N2CP2DP3S=NYYYYYY2445!H + 4!S|1C1N2C--2D--,3S,5!H + 4!S
Error *001C1N2CP2DP3SP3N=NYYYYYY22!H + 3!S|1C1N2C--2D--3S--,3N,2!H + 3!S
Error *001C1N2CP2DP3SP3NP4D=YNNYNYYA006!H + 4!S|1C1N2C--2D--3S--3N--,4D,6!H + 4!S
Error *001C1N2CP2H=NYYYYYY2454+!H|1C1N2C--,2H,4+!H
Error *001C1N2CP2HP2N=NYYYYYY1Signoff|1C1N2C--2H--,2N,Signoff
Error *001C1N2CP2HP2S=NYYYYYY2444!S|1C1N2C--2H--,2S,4!S
Error *001C1N2CP2HP3D=NNNYNYY408Invite !H|1C1N2C--2H--,3D,Invite !H
Error *001C1N2CP2HP3DP3H=NNNYNYY244minimum|1C1N2C--2H--3D--,3H,minimum
Error *001C1N2CP2HP3DP3N=NNNYNYY25!H332|1C1N2C--2H--3D--,3N,5!H332
Error *001C1N2CP2HP3DP4H=NNNYNYY245MAXIMUM|1C1N2C--2H--3D--,4H,MAXIMUM
Error *001C1N2CP2HP3N=NYYYYYY1Signoff|1C1N2C--2H--,3N,Signoff
Error *001C1N2CP2HP3S=NNNYNYY508Fit + Singleton|1C1N2C--2H--,3S,Fit + Singleton
Error *001C1N2CP2HP3SP3N=YNNYNYYCASK short|1C1N2C--2H--3S--,3N,ASK short
Error *001C1N2CP2HP3SP3NP4C=NNNYNYY6010-1!C|1C1N2C--2H--3S--3N--,4C,0-1!C
Error *001C1N2CP2HP3SP3NP4D=NNNYNYY6010-1!D|1C1N2C--2H--3S--3N--,4D,0-1!D
Error *001C1N2CP2HP3SP3NP4H=NNNYNYY2440-1!S|1C1N2C--2H--3S--3N--,4H,0-1!S
Error *001C1N2CP2HP4C=YNNYNYND08RKCB 14/03 in !H|1C1N2C--2H--,4C,RKCB 14/03 in !H
Error *001C1N2CP2HP4D=NYYYYYN708Balanced slam try|1C1N2C--2H--,4D,Balanced slam try
Error *001C1N2CP2HP4H=NYYYYYY144Signoff|1C1N2C--2H--,4H,Signoff
Error *001C1N2CP2HPP=NYYYYYYTo play|1C1N2C--2H--,--,To play
Error *001C1N2CP2S=NYYYYYY2454+!S|1C1N2C--,2S,4+!S
Error *001C1N2CP2SP2N=NYYYYYY1Signoff|1C1N2C--2S--,2N,Signoff
Error *001C1N2CP2SP3D=NNNNYYY408Invite !S|1C1N2C--2S--,3D,Invite !S
Error *001C1N2CP2SP3DP3N=NNNNYYY25!S332|1C1N2C--2S--3D--,3N,5!S332
Error *001C1N2CP2SP3DP3S=NNNNYYY244minimum|1C1N2C--2S--3D--,3S,minimum
Error *001C1N2CP2SP3DP4S=NNNNYYY245MAXIMUM|1C1N2C--2S--3D--,4S,MAXIMUM
Error *001C1N2CP2SP3H=NNNNYYY624Fit + singleton|1C1N2C--2S--,3H,Fit + singleton
Error *001C1N2CP2SP3HP3N=YNNNYYYCASK short|1C1N2C--2S--3H--,3N,ASK short
Error *001C1N2CP2SP3HP3NP4C=NNNNYYY6010-1!C|1C1N2C--2S--3H--3N--,4C,0-1!C
Error *001C1N2CP2SP3HP3NP4D=NNNNYYY6010-1!D|1C1N2C--2S--3H--3N--,4D,0-1!D
Error *001C1N2CP2SP3HP3NP4H=NNNNYYY6111!H|1C1N2C--2S--3H--3N--,4H,1!H
Error *001C1N2CP2SP3HP3NP4S=NNNNYYY2440!H|1C1N2C--2S--3H--3N--,4S,0!H
Error *001C1N2CP2SP3HP3S=NNNNYYY244minimum|1C1N2C--2S--3H--,3S,minimum
Error *001C1N2CP2SP3HP3SP4C=NNNNYYY6010-1!C|1C1N2C--2S--3H--3S--,4C,0-1!C
Error *001C1N2CP2SP3HP3SP4D=NNNNYYY6010-1!D|1C1N2C--2S--3H--3S--,4D,0-1!D
Error *001C1N2CP2SP3HP3SP4H=NNNNYYY6111!H|1C1N2C--2S--3H--3S--,4H,1!H
Error *001C1N2CP2SP3HP3SP4S=NNNNYYY2440!H|1C1N2C--2S--3H--3S--,4S,0!H
Error *001C1N2CP2SP3HP3SPP=NNNNYYYTo play|1C1N2C--2S--3H--3S--,--,To play
Error *001C1N2CP2SP3N=NYYYYYY1Signoff|1C1N2C--2S--,3N,Signoff
Error *001C1N2CP2SP4C=YNNNYYND08RKCB 14/03 in !S|1C1N2C--2S--,4C,RKCB 14/03 in !S
Error *001C1N2CP2SP4D=YNNNYYN708Balanced slam try|1C1N2C--2S--,4D,Balanced slam try
Error *001C1N2CP2SP4S=NNNNYYY144Signoff|1C1N2C--2S--,4S,Signoff
Error *001C1N2CP2SPP=NYYYYYYTo play|1C1N2C--2S--,--,To play
Error *001C1N2D=YYYYYYYA08Trans -> !H. *5+!H   *Both minors|1C1N,2D,Trans -> !H. *5+!H   *Both minors
Error *001C1N2DP2H=NYYYYYYC232-3!H, Relay|1C1N2D--,2H,2-3!H; Relay
Error *001C1N2DP2HP2N=NYYYYYY55+!H  +  4+!C|1C1N2D--2H--,2N,5+!H  +  4+!C
Error *001C1N2DP2HP2S=YYYNNYY508Both minors. NOT !H|1C1N2D--2H--,2S,Both minors. NOT !H
Error *001C1N2DP2HP3C=NYYYYYY5085+!H  +  4+!D|1C1N2D--2H--,3C,5+!H  +  4+!D
Error *001C1N2DP2HP3D=NNNYNYY5086+!H, 1-suiter|1C1N2D--2H--,3D,6+!H; 1-suiter
Error *001C1N2DP2HP3N=NYYYYYY1Signoff|1C1N2D--2H--,3N,Signoff
Error *001C1N2DP2HP3S=NNNYNYY6015+!H, 0-1!S |1C1N2D--2H--,3S,5+!H; 0-1!S 
Error *001C1N2DP2HP4C=NNNYNYY6015+!H, 0-1!C |1C1N2D--2H--,4C,5+!H; 0-1!C 
Error *001C1N2DP2HP4D=NNNYNYY6015+!H, 0-1!D |1C1N2D--2H--,4D,5+!H; 0-1!D 
Error *001C1N2DP2HP4H=NNNYNYN708Balanced slam try|1C1N2D--2H--,4H,Balanced slam try
Error *001C1N2DP2HP4S=NYNNNYN7235!C332, slam try, NOT !H|1C1N2D--2H--,4S,5!C332; slam try; NOT !H
Error *001C1N2DP2S=YNNYNYY5084+!H, super-accept|1C1N2D--,2S,4+!H; super-accept
Error *001C1N2DP2SP2N=NYYYYYY55+!H  +  4+!C|1C1N2D--2S--,2N,5+!H  +  4+!C
Error *001C1N2DP2SP3C=NYYYYYY5085+!H  +  4+!D|1C1N2D--2S--,3C,5+!H  +  4+!D
Error *001C1N2DP2SP3D=NNNYNYY5086+!H, 1-suiter|1C1N2D--2S--,3D,6+!H; 1-suiter
Error *001C1N2DP2SP3N=NYYYYYY1Signoff|1C1N2D--2S--,3N,Signoff
Error *001C1N2DP2SP3S=NNNYNYY6015+!H, 0-1!S |1C1N2D--2S--,3S,5+!H; 0-1!S 
Error *001C1N2DP2SP4C=NNNYNYY6015+!H, 0-1!C |1C1N2D--2S--,4C,5+!H; 0-1!C 
Error *001C1N2DP2SP4D=NNNYNYY6015+!H, 0-1!D |1C1N2D--2S--,4D,5+!H; 0-1!D 
Error *001C1N2DP2SP4H=NNNYNYN708Balanced slam try|1C1N2D--2S--,4H,Balanced slam try
Error *001C1N2DP2SP4S=NYNNNYN7235!C332, slam try, NOT !H|1C1N2D--2S--,4S,5!C332; slam try; NOT !H
Error *001C1N2H=YYYYYYYA08Trans -> !S|1C1N,2H,Trans -> !S
Error *001C1N2HP2S=NYYYYYYC08Relay|1C1N2H--,2S,Relay
Error *001C1N2HP2SP2N=NYYYYYY55+!S  +  4+!C|1C1N2H--2S--,2N,5+!S  +  4+!C
Error *001C1N2HP2SP3C=NYYYYYY5085+!S  +  4+!D|1C1N2H--2S--,3C,5+!S  +  4+!D
Error *001C1N2HP2SP3D=NYYYYYY5085+!S  +  5+!H|1C1N2H--2S--,3D,5+!S  +  5+!H
Error *001C1N2HP2SP3H=NYYYYYY5086+!S, 1-suiter|1C1N2H--2S--,3H,6+!S; 1-suiter
Error *001C1N2HP2SP4C=NNYYYYY6015+!S, 0-1!C  |1C1N2H--2S--,4C,5+!S; 0-1!C  
Error *001C1N2HP2SP4D=NYNYYYY0015+!S, 0-1!D|1C1N2H--2S--,4D,5+!S; 0-1!D
Error *001C1N2HP2SP4H=NYYNYYY6015+!S, 0-1!H|1C1N2H--2S--,4H,5+!S; 0-1!H
Error *001C1N2HP2SP4S=NNNNYYN758Balanced slam try|1C1N2H--2S--,4S,Balanced slam try
Error *001C1N2N=NYYYYYY4Invite|1C1N,2N,Invite
Error *001C1N2S=YYYYYYY408Invite 6+card minor. *6+!C, any strength    *5-10HcP, 6+!D|1C1N,2S,Please read chat#Invite 6+card minor. *6+!C; any strength    *5-10HcP; 6+!D
Error *001C1N2SP2N=NYYYYYY5!C preferred|1C1N2S--,2N,!C preferred
Error *001C1N2SP2NP3C=NYYYYYY2686+!C, weak|1C1N2S--2N--,3C,6+!C; weak
Error *001C1N2SP2NP3D=NYYYYYY4086+!D, invite|1C1N2S--2N--,3D,6+!D; invite
Error *001C1N2SP2NP3H=NYYNYYY6016+!C, 0-1!H, GF|1C1N2S--2N--,3H,6+!C; 0-1!H; GF
Error *001C1N2SP2NP3N=NYYYYYY26+!C, Invite|1C1N2S--2N--,3N,6+!C; Invite
Error *001C1N2SP2NP3S=NYYYNYY6016+!C, 0-1!S, GF|1C1N2S--2N--,3S,6+!C; 0-1!S; GF
Error *001C1N2SP3C=NYYYYYY508!D preferred|1C1N2S--,3C,!D preferred
Error *001C1N2SP3CP3D=NYYYYYY4086+!D, invite|1C1N2S--3C--,3D,6+!D; invite
Error *001C1N2SP3CP3H=NYYNYYY6016+!C, 0-1!H, GF|1C1N2S--3C--,3H,6+!C; 0-1!H; GF
Error *001C1N2SP3CP3N=NYYYYYY26+!C, Invite|1C1N2S--3C--,3N,6+!C; Invite
Error *001C1N2SP3CP3S=NYYYNYY6016+!C, 0-1!S, GF|1C1N2S--3C--,3S,6+!C; 0-1!S; GF
Error *001C1N2SP3CPP=NYYYYYYTo play|1C1N2S--3C--,--,To play
Error *001C1N3C=NYYYYYYA08Trans -> !D|1C1N,3C,Trans -> !D
Error *001C1N3CP3D=NYYYYYY208Relay|1C1N3C--,3D,Relay
Error *001C1N3CP3DP3H=NYYNYYY6016+!D, 0-1!H, GF|1C1N3C--3D--,3H,6+!D; 0-1!H; GF
Error *001C1N3CP3DP3N=NYYYYYY26+!D, 0-1!C, GF|1C1N3C--3D--,3N,6+!D; 0-1!C; GF
Error *001C1N3CP3DP3S=NYYYNYY6016+!D, 0-1!S, GF|1C1N3C--3D--,3S,6+!D; 0-1!S; GF
Error *001C1N3CP3DPP=NYYYYYYTo play|1C1N3C--3D--,--,To play
Error *001C1N3D=YYYYYYY5083-suiter w/short minor|1C1N,3D,3-suiter w/short minor
Error *001C1N3DP3H=YYYYYYYC08ASK distrib|1C1N3D--,3H,ASK distrib
Error *001C1N3DP3HP3N=NYYYYYY20-1!D, 4-4-1-4, 4-4-0-5|1C1N3D--3H--,3N,0-1!D; 4-4-1-4; 4-4-0-5
Error *001C1N3DP3HP3NP4C=YNNYNYND08RKCB in !H 03/14|1C1N3D--3H--3N--,4C,RKCB in !H 03/14
Error *001C1N3DP3HP3NP4D=YNNNYYND08RKCB in !S 03/14|1C1N3D--3H--3N--,4D,RKCB in !S 03/14
Error *001C1N3DP3HP3NP4H=NNNYYYY145Signoff|1C1N3D--3H--3N--,4H,Signoff
Error *001C1N3DP3HP3NP4S=NNNYYYY145Signoff|1C1N3D--3H--3N--,4S,Signoff
Error *001C1N3DP3HP3NP5C=NYYYYYY108Signoff|1C1N3D--3H--3N--,5C,Signoff
Error *001C1N3DP3HP3NPP=NYYYYYYTo play|1C1N3D--3H--3N--,--,To play
Error *001C1N3DP3HP3S=NYYYYYY5080-1!C, 4-4-4-1, 4-4-5-0|1C1N3D--3H--,3S,0-1!C; 4-4-4-1; 4-4-5-0
Error *001C1N3DP3HP3SP3N=NYYYYYY1Signoff|1C1N3D--3H--3S--,3N,Signoff
Error *001C1N3DP3HP3SP4C=YNNYNYND08RKCB in !H 03/14|1C1N3D--3H--3S--,4C,RKCB in !H 03/14
Error *001C1N3DP3HP3SP4D=YNNNYYND08RKCB in !S 03/14|1C1N3D--3H--3S--,4D,RKCB in !S 03/14
Error *001C1N3DP3HP3SP4H=NNNYYYY145Signoff|1C1N3D--3H--3S--,4H,Signoff
Error *001C1N3DP3HP3SP4S=NNNYYYY145Signoff|1C1N3D--3H--3S--,4S,Signoff
Error *001C1N3DP3HP3SP5D=NYYYYYY108Signoff|1C1N3D--3H--3S--,5D,Signoff
Error *001C1N3DP4H=NYYYYYY145Signoff|1C1N3D--,4H,Signoff
Error *001C1N3DP4S=NYYYYYY145Signoff|1C1N3D--,4S,Signoff
Error *001C1N3H=YYYYNYY2443-suiter, 1-4-4-4, 0-4-4-5, 0-4-5-4|1C1N,3H,3-suiter; 1-4-4-4; 0-4-4-5; 0-4-5-4
Error *001C1N3HP3N=NYYYNYY24+!S|1C1N3H--,3N,4+!S
Error *001C1N3HP3S=NYYYNYY608minimum, 4+!H|1C1N3H--,3S,minimum; 4+!H
Error *001C1N3HP4H=NYYYNYY148Signoff|1C1N3H--,4H,Signoff
Error *001C1N3HP4S=YYYYNYND08RKCB in !H 03/14|1C1N3H--,4S,RKCB in !H 03/14
Error *001C1N3HPP=NYYYNYYTo play|1C1N3H--,--,To play
Error *001C1N3N=NYYYYYY1Signoff|1C1N,3N,Signoff
Error *001C1N3S=NYYNYYY2443-suiter, 4-1-4-4, 4-0-4-5, 4-0-5-4|1C1N,3S,3-suiter; 4-1-4-4; 4-0-4-5; 4-0-5-4
Error *001C1N3SP3N=NYYNYYY24+!H|1C1N3S--,3N,4+!H
Error *001C1N3SP4H=YYYNYYND08RKCB in !S 03/14|1C1N3S--,4H,RKCB in !S 03/14
Error *001C1N3SP4S=NYYNYYY108Signoff|1C1N3S--,4S,Signoff
Error *001C1N4C=YYYYYYND08Gerber (0,1,2,3)|1C1N,4C,Gerber (0;1;2;3)
Error *001C1N4D=YNNYNYYA08Trans -> !H|1C1N,4D,Trans -> !H
Error *001C1N4DP4H=YNNYNYY208Relay|1C1N4D--,4H,Relay
Error *001C1N4DP4HP4N=YNNYNYNDRKCB in !H 14/03|1C1N4D--4H--,4N,RKCB in !H 14/03
