BBOalert, SEF
1C----,1N,10-13HL
1C----,2N,17-19HL
1D----,1N,10-13HL
1D----,2N,17-19HL
1H----,1N,10-13HL
1H----,2N,17-19HL
1N,2C,bicolore majeur (Landy)
1N2C--,2D,#!hs
1N2C--,2H,#!hs>#!ss
1N2C--,2S,#!hs<#!ss
1N----,2C,bicolore majeur (Landy)
1N----2C--,2D,#!hs
1N----2C--,2H,#!hs>#!ss
1N----2C--,2S,#!hs<#!ss
1S----,1N,10-13HL
1S----,2N,17-19HL
Error *00{SEF}=NYYYYYYMajeure Cinquième, SA Fort (2SA fitté, Drury, Landy, Roudi constant, Rubensohl)|,,Please read chat#eure Cinquième; SA Fort (2SA fitté; Drury; Landy; Roudi constant; Rubensohl)
1C1D,Db,8+HL 4+!h 4+!s
1C1H,Db,8+HL
1C1S,Db,8+HL 4!h OU 8-10HL 5!h
1C2H,Db,10+HL 4!s OU 10-11HL 5!s
1C2S,Db,10+HL 4!h OU 10-11HL 5!h
1C3D,Db,10-11HL 4+maj
1C3H,Db,12+HL 4+!s
1C3S,Db,12+HL 4+!h
1C4H,Db,12+HL 4+!s
1C4S,Db,12+HL optionnel
,1C,12-23HL
1C--,1D,5+HL (3334 possible)
1C--1D--,1H,12-19HL
1C--1D--1H--,1N,6-10HL
1C--1D--1H--,1S,4!s ou 4e forcing
1C--1D--1H--,2C,6-11HLD
1C--1D--1H--,2D,
1C--1D--1H--,2H,6-11HLD
1C--1D--1H--,2N,11-12HL
1C--1D--1H--,3C,12+HLD
1C--1D--1H--,3N,13-15HL
1C--1D--,1N,12-15HL
1C--1D--,1S,12-19HL
1C--1D--1S--,1N,6-10HL
1C--1D--1S--,2C,6-11HLD
1C--1D--1S--,2D,
1C--1D--1S--,2H,4e FM
1C--1D--1S--,2N,11-12HL
1C--1D--1S--,2S,6-11HLD
1C--1D--1S--,3C,12+HLD
1C--1D--1S--,3N,13-15HL
1C--1D--,2C,sans majeure 4e
1C--1D--,2D,5+!c4+!d
1C--1D--,2N,18-19H
1C--,1H,5+HL
1C--1H--,1N,12-15HL sans 4!h ni 4!s
1C--1H--1N--,2C,11+HL Roudi (constant)
1C--1H--1N--2C--,2D,12-13HL 2!h
1C--1H--1N--2C--,2H,12-13HL 3!h
1C--1H--1N--2C--,2N,14-15HL 2!h
1C--1H--1N--2C--,2S,14-15HL 3!h
1C--1H--1N--,2D,4!h
1C--1H--1N--,2H,
1C--1H--1N--,2N,!c
1C--1H--1N--,2S,5!h
1C--1H--1N--,3C,13+HLD
1C--1H--1N--,3D,5!h
1C--1H--1N--,3H,
1C--1H--1N--,3N,12-18HL
1C--1H--1N--,4N,18-19HL (quantitatif)
1C--1H--,1S,12-19HL
1C--1H--1S--,1N,6-10HL
1C--1H--1S--,2C,6-11HLD
1C--1H--1S--,2D,4e forcing
1C--1H--1S--,2H,6-10HL
1C--1H--1S--,2N,11-12HL
1C--1H--1S--,2S,6-10HLD
1C--1H--1S--,3C,12+HLD
1C--1H--1S--,3D,13+HL 5!d-5!h
1C--1H--1S--,3H,11-12HL
1C--1H--1S--,3N,13-15HL
1C--1H--1S--,3S,11-12HLD
1C--1H--1S--,4H,13-15HL
1C--1H--1S--,4S,13-15HLD
1C--1H--,2C,12-17HL
1C--1H--2C--,2D,9-10+H 3e forcing
1C--1H--2C--2D--,2H,12-13H
1C--1H--2C--2D--,3C,
1C--1H--2C--2D--,3H,14-16H
1C--1H--2C--,2H,6-10HL
1C--1H--2C--,2N,11-12HL
1C--1H--2C--,2S,12+HL
1C--1H--2C--,3C,10-12HLD
1C--1H--2C--,3D,12+HL 5!h
1C--1H--2C--,3H,11-12HL
1C--1H--2C--,3N,13-15HL
1C--1H--2C--,4C,
1C--1H--2C--,4H,13-15HL
1C--1H--,2D,17+HL
1C--1H--,2H,12-16HLD
1C--1H--,2N,18-19H 2-3!h
1C--1H--2N--,3C,
1C--1H--2N--,3D,Check-Back Stayman
1C--1H--2N--3D--,3H,3!h
1C--1H--2N--3D--,3N,ni 3!h ni 4!s
1C--1H--2N--3D--,3S,4!s-2!h
1C--1H--2N--,3H,
1C--1H--2N--,4C,5!c-5!h
1C--1H--2N--,4D,5!d-5!h
1C--1H--2N--,4H,
1C--1H--2N--,4N,14H (quantitatif)
1C--1H--,2S,20+HL
1C--1H--,3C,18-19HL
1C--1H--,3D,20+HL
1C--1H--,3H,17-19HLD
1C--1H--,3N,18-19H 4!h
1C--1H--,3S,4!h 0-1!s
1C--1H--,4D,4!h 0-1!d
1C--1H--,4H,20-21HLD
1C--,1N,8-10HL sans majeure 4e
1C--1N--,2C,12-16HL
1C--1N--,2D,17+HL
1C--1N--,2H,17+HL
1C--1N--,2N,16-17HL
1C--1N--,2S,17+HL (ou 14-15H 5!c-5!s)
1C--1N--,3C,17-19HL
1C--1N--,3D,19+HL
1C--1N--,3H,19+HL 6!c-5!h
1C--1N--,3N,18+HL
1C--1N--,3S,16+H 5!c-5!s
1C--,1S,5+HL
1C--1S--,1N,12-15HL
1C--1S--1N--,2C,11+HL Roudi (constant)
1C--1S--1N--2C--,2D,12-13HL 2!s
1C--1S--1N--2C--,2H,12-13HL 3!s
1C--1S--1N--2C--,2N,14-15HL 2!s
1C--1S--1N--2C--,2S,14-15HL 3!s
1C--1S--1N--,2D,4!s
1C--1S--1N--,2H,5!s
1C--1S--1N--,2N,!c
1C--1S--1N--,2S,
1C--1S--1N--,3C,13+HLD
1C--1S--1N--,3D,5!s
1C--1S--1N--,3H,5!s
1C--1S--1N--,3N,12-18HL
1C--1S--1N--,3S,
1C--1S--1N--,4N,18-19HL (quantitatif)
1C--1S--,2C,12-17HL
1C--1S--2C--,2D,9-10+H 3e forcing
1C--1S--2C--2D--,2H,
1C--1S--2C--2D--,2S,12-13H
1C--1S--2C--2D--,3C,
1C--1S--2C--2D--,3S,14-16H
1C--1S--2C--,2H,5!s
1C--1S--2C--,2N,11-12HL
1C--1S--2C--,2S,6-10HL
1C--1S--2C--,3C,10-12HLD
1C--1S--2C--,3D,12+HL 5!s
1C--1S--2C--,3H,12+HL
1C--1S--2C--,3N,13-15HL
1C--1S--2C--,3S,11-12HL
1C--1S--2C--,4C,
1C--1S--2C--,4S,13-15HL
1C--1S--,2D,17+HL
1C--1S--,2H,17+HL
1C--1S--2H--,2N,modérateur
1C--1S--2H--2N--,3C,minimum (passe ou corrige)
1C--1S--2H--,2S,
1C--1S--2H--,3C,
1C--1S--2H--,3D,5!s
1C--1S--2H--,3H,
1C--1S--,2N,18-19H 2-3!s
1C--1S--2N--,3C,
1C--1S--2N--,3D,Check-Back Stayman
1C--1S--2N--3D--,3H,4!h-2!s
1C--1S--2N--3D--,3N,ni 3!s ni 4!h
1C--1S--2N--3D--,3S,3!s
1C--1S--2N--,3H,5!h-5!s
1C--1S--2N--,3S,
1C--1S--2N--,4C,5!c-5!s
1C--1S--2N--,4D,5!d-5!s
1C--1S--2N--,4H,5!h-5!s (passe ou corrige)
1C--1S--2N--,4N,14H (quantitatif)
1C--1S--2N--,4S,
1C--1S--,2S,12-16HLD
1C--1S--,3C,18-19HL
1C--1S--,3D,20+HL
1C--1S--,3H,20+HL
1C--1S--,3N,18-19H 4!s
1C--1S--,3S,17-19HLD
1C--1S--,4D,4!s 0-1!d
1C--1S--,4H,4!s 0-1!h
1C--1S--,4S,20-21HLD
1C--,2C,6-10HLD
1C--2C--,3C,
1C--,2D,16+HL fit !c
1C--,2H,16+HL fit !c
1C--,2N,11-12HL sans majeure 4e
1C--,2S,16+HL fit !c
1C--,3C,11-12HLD
1C--,3N,13-15HL sans majeure 4e
1D1H,Db,8+HL
