BBOalert
Error *00{WJ2000}=NYYYYYYWJ2000 - by Krzysztof Jassem|,20,000 - by Krzysztof Jassem
1C1D,1H,
1C1D,1S,
1C1D,2C,7-10
1C1D,3C,usually 6+!c
1C1D,Db,4+!h-4!s
1C1H,1S,4+ cards
1C1H,2C,7-10
1C1H,2D,7-10
1C1H,3C,usually 6+!c
1C1H,3D,usually 6+!d
1C1H,Db,Please read chat#*denies* 4+!s; could be a GF with a 5-crd minor; or just no good bid
1C1N,2C,
1C1N,2D,
1C1N,2H,
1C1N,2S,
1C1N,Db,penalty
1C1S,2C,7-10
1C1S,2D,7-10
1C1S,2H,7-10
1C1S,3C,usually 6+ crds
1C1S,3D,usually 6+ crds
1C1S,3H,usually 6+ crds
1C1S,Db,Please read chat#negative double; 4+!h or some GF hand without a good bid
1C2D,2H,7-10
1C2D,2S,7-10
1C2D,3C,
1C2D,3H,
1C2D,3S,
1C2D,Db,negative
1C2H,2N,Leb: signoff in a minor; or an odd GF
1C2H,2S,7-10
1C2H,3C,
1C2H,3D,
1C2H,3S,
1C2H,Db,Please read chat#negative; usually 4!s but could be nebulous GF
1C2S,2N,Leb: signoff in any one suit
1C2S,3C,
1C2S,3D,
1C2S,3H,
1C2S,Db,negative; usually 4!h
,1C,Please read chat#Polish Club:  either                   a) 12-14 NT; !d may be longer     b) 11-14 3-suiter short !d            c) 15-17 with !c                       d) any 18+ HCP hand
1CDb,1D,0-2!c; 0-6
1CDb,1H,7+ HCP
1CDb,1N,7-9 HCP; no major
1CDb,1S,7+ HCP
1CDb,2C,6-10; 6+ or good 5!c
1CDb,2D,9-11
1CDb,2H,9-11
1CDb,2S,9-11
1CDb,--,3+!c; 0-6
1CDb,Rd,10+; usually no major
1C--,1D,Please read chat#either:                                    a) 0-6; any shape                     b) 7-11 unbalanced no major    c) 17+ balanced no major
1C--1D--,1H,Please read chat#11-20; better major; if 12-14 could be 3 cards
1C--1D--1H--,1N,4-8 HCP; no major
1C--1D--1H--,1S,4-6 HCP
1C--1D--1H--,2C,about 5-10
1C--1D--1H--,2D,about 5-10
1C--1D--1H--,2H,4-6
1C--1D--1H--,2N,19+ NT; no M
1C--1D--1H--,2S,5+-4+ minors; 9-11
1C--1D--1H--,3C,9-11; not a good suit
1C--1D--1H--,3D,9-11; not a good suit
1C--1D--1H--,3N,17-18 NT; no M
1C--1D--,1N,18-20(21) bal
1C--1D--1N--,2C,Stayman
1C--1D--1N--2C--,2D,no major
1C--1D--1N--2C--2D--,2H,4+!h; weak with 4!s or 5+ minor
1C--1D--1N--2C--2D--,2N,promises at least one major
1C--1D--1N--2C--2D--,2S,asks shape
1C--1D--1N--2C--2D--2S--,2N,denies a 5-crd minor
1C--1D--1N--2C--2D--2S--2N--,3C,asks shape
1C--1D--1N--2C--2D--2S--2N--3C--,3D,3!s-3!h-4!d-3!c
1C--1D--1N--2C--2D--2S--2N--3C--,3H,2!s-3!h-4!d-4!c
1C--1D--1N--2C--2D--2S--2N--3C--,3N,3!s-3!h-3!d-4!c
1C--1D--1N--2C--2D--2S--2N--3C--,3S,3!s-2!h-4!d-4!c
1C--1D--1N--2C--2D--2S--,3C,5!c
1C--1D--1N--2C--2D--2S--3C--,3D,asks for doubleton
1C--1D--1N--2C--2D--2S--,3D,3!h-3!s-5!d-2!c
1C--1D--1N--2C--2D--2S--,3H,3!s-2!h-5!d-3!c
1C--1D--1N--2C--2D--2S--,3S,2!s-3!h-5!d-3!c
1C--1D--1N--2C--2D--,3C,5+!c + 4crd major
1C--1D--1N--2C--2D--,3D,5+!d + 4-crd major
1C--1D--1N--2C--2D--,3H,4!s; splinter
1C--1D--1N--2C--2D--,3S,4!h; splinter
1C--1D--1N--2C--,2H,4!h; may have 4!s
1C--1D--1N--2C--2H--,2N,promises 4!s
1C--1D--1N--2C--2H--,2S,weak hand; 4!s + minor
1C--1D--1N--2C--2H--,3C,asks shape
1C--1D--1N--2C--2H--3C--,3D,4!d-4!h
1C--1D--1N--2C--2H--3C--3D--,3H,asks for the tripleton
1C--1D--1N--2C--2H--3C--,3H,4!h-333
1C--1D--1N--2C--2H--3C--,3N,4!h-4!c
1C--1D--1N--2C--2H--3C--,3S,4!h-4!s
1C--1D--1N--2C--2H--,3D,5+!d-4!s invite
1C--1D--1N--2C--2H--,3H,
1C--1D--1N--2C--2H--,3S,splinter for !h
1C--1D--1N--2C--2H--,4C,splinter for !h
1C--1D--1N--2C--2H--,4D,splinter for !h
1C--1D--1N--2C--,2S,4!s; denies 4!h
1C--1D--1N--2C--2S--,2N,promises 4!h
1C--1D--1N--2C--2S--,3C,asks for shape
1C--1D--1N--2C--2S--3C--,3D,4!d-4!s
1C--1D--1N--2C--2S--3C--3D--,3H,asks for tripleton
1C--1D--1N--2C--2S--3C--,3H,4!s-3!h-2!d-4!c
1C--1D--1N--2C--2S--3C--,3N,4!s-2!h-3!d-4!c
1C--1D--1N--2C--2S--3C--,3S,4!s-333
1C--1D--1N--2C--2S--,3D,5+!d-4!h invite
1C--1D--1N--2C--2S--,3S,
1C--1D--1N--2C--2S--,4C,splinter for !s
1C--1D--1N--2C--2S--,4D,splinter for !s
1C--1D--1N--2C--2S--,4H,splinter for !s
1C--1D--1N--,2D,5+!h
1C--1D--1N--2D--,2H,
1C--1D--1N--2D--2H--,2S,
1C--1D--1N--2D--2H--,3C,
1C--1D--1N--2D--2H--,3D,
1C--1D--1N--2D--2H--,3H,
1C--1D--1N--2D--2H--,3S,splinter
1C--1D--1N--2D--2H--,4C,splinter
1C--1D--1N--2D--2H--,4D,splinter
1C--1D--1N--2D--,2N,max; good !h fit; but no-trump oriented
1C--1D--1N--2D--2N--,3D,Please read chat#re-transfer (or 5+!d if later rebids them)
1C--1D--1N--2D--,3H,max; good !h fit; suit-oriented
1C--1D--1N--2D--3H--,3N,bal. slamtry
1C--1D--1N--2D--3H--,3S,splinter
1C--1D--1N--2D--3H--,4C,splinter
1C--1D--1N--2D--3H--,4D,splinter
1C--1D--1N--,2H,5+!s
