BBOalert
1.,7},Please read chat#ra 1.7 - based on Garozzo's system for Italian Junior team and a little modification\\[Defensive bidding]\\-jump overcall 10-13 HCP; 6+ cards\\-normal overcall 0-16 HCP if very weak then 6+ cards & preemptive\\-take-out double 13-16 HCP and 3+ cards other suits OR 17+ HCP; any shape\\-Michael's + UNT\\-beware of prebalance t/o doubles and suit bids (10+ HCP)
1C1D,1H,4+!s; systems on
1C1D,1N,5+!c; weak or GF
1C1D,1S,Please read chat#8-10 bal no M; or some 11+ HCP hand with no better bid
1C1D,2C,4+!c; invite
1C1D,2D,5+!h-5+!s; 8+ HCP
1C1D,2H,6+!h GF
1C1D,2N,6+!c unbalanced; invite or better
1C1D,2S,6+!s GF
1C1D,3C,5+!c; GF splinter in !d; no 4M
1C1D,3D,6+!h; invit+
1C1D,3H,6+!s; invit+
1C1D,3S,Please read chat#transfer to 3N; wants opener to play it; usually Axx/Kxx stopper or similar
1C1D,Db,4+!h; systems on
1C1H,1N,5+!c; weak or GF
1C1H,1S,Please read chat#8-10 bal denies 4!s; or 11+ HCP without any other good bid
1C1H,2C,5+!d; any strength
1C1H,2D,5(4)+!c; invite
1C1H,2H,5+!s-5+ minor; 8+ HCP
1C1H,2N,6+!c invite or better; unbalanced
1C1H,2S,6+!s; GF
1C1H,3C,6+!d; invite or better
1C1H,3D,5+!c; GF splinter in !h; denies 4!s
1C1H,3H,6+!s; invite or better
1C1H,3S,Please read chat#transfer to 3N; wants opener to play it; usually stopper like Axx/Kxx or similar
1C1H,Db,4+!s; systems on
1C1N,2C,
1C1N,2D,
1C1N,2H,
1C1N,2N,invit+ !c raise
1C1N,2S,
1C1N,3C,invit+ with long !d
1C1N,3D,invit+ with long !h
1C1N,3H,invit+ with long !s
1C1N,Db,penalty
1C1S,1N,7-10 bal
1C1S,2C,5+!d; any strength
1C1S,2D,5+!h any strength
1C1S,2H,5+!c; invite or better
1C1S,2N,6+!c; invite or better
1C1S,2S,5+!h-5+!d; invite or better
1C1S,3C,6+!d; invite or better
1C1S,3D,6+!h; invite or better
